Name,Total Price,Price,Pick Up Location,Return Location,Pick Up Date,Return Date,Pick Up Time,Return Time
Economy,$15689.47,$1080.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Compact,$15925.94,$1100.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Midsize,$16162.41,$1120.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Standard,$16398.88,$1140.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Full Size,$16635.35,$1160.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Premium,$19472.99,$1400.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Midsize SUV,$21837.69,$1600.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
7-Passenger Minivan,$21837.69,$1600.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Convertible,$21837.69,$1600.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Luxury,$21837.69,$1600.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Standard SUV,$22074.16,$1620.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Fullsize SUV,$23965.92,$1780.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
15 Passenger Van,$48370.48,$3900.00 / month ,TPA,RSW,04/14/2017,02/17/2018,Noon,Noon
Economy,$15689.47,$1080.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Compact,$15925.94,$1100.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Midsize,$16162.41,$1120.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Standard,$16398.88,$1140.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Full Size,$16635.35,$1160.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Premium,$19472.99,$1400.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Midsize SUV,$21837.69,$1600.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
7-Passenger Minivan,$21837.69,$1600.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Convertible,$21837.69,$1600.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Luxury,$21837.69,$1600.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Standard SUV,$22074.16,$1620.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
Fullsize SUV,$23965.92,$1780.00 / month ,TPA,DAB,04/14/2017,02/17/2018,Noon,Noon
